Datetime,Open,High,Low,Close,Volume
2025-08-24T00:00:00.000+0000,121.46,122.08,121.31,121.5,1377.981
2025-08-24T02:00:00.000+0000,121.5,121.72,120.59,121.25,1833.178
2025-08-24T04:00:00.000+0000,121.17,121.8,120.94,121.29,784.334
2025-08-24T06:00:00.000+0000,121.28,121.28,119.48,119.48,5171.4292
2025-08-24T08:00:00.000+0000,119.52,120.08,119.3,119.9,5732.977
2025-08-24T10:00:00.000+0000,119.92,120.12,118.31,118.51,2687.115
2025-08-24T12:00:00.000+0000,118.5,119.44,118.41,118.99,2301.086
2025-08-24T14:00:00.000+0000,119.03,120.38,118.66,119.32,1784.116
2025-08-24T16:00:00.000+0000,119.35,121.85,119.3,121.63,3813.136
2025-08-24T18:00:00.000+0000,121.6,124.73,118.83,120.7,20929.602
2025-08-24T20:00:00.000+0000,120.72,120.81,118.18,118.5,18475.3138
2025-08-24T22:00:00.000+0000,118.52,119.12,117.11,118.2,4159.937
2025-08-25T00:00:00.000+0000,118.22,118.48,115.53,117.23,8993.845
2025-08-25T02:00:00.000+0000,117.23,118.65,117.22,117.35,4029.652
2025-08-25T04:00:00.000+0000,117.38,117.54,114.85,115.01,9210.662
2025-08-25T06:00:00.000+0000,115.02,115.11,112.07,112.54,9010.893
2025-08-25T08:00:00.000+0000,112.56,112.96,111.74,112.74,5155.923
2025-08-25T10:00:00.000+0000,112.73,112.73,110.52,111.51,8761.234
2025-08-25T12:00:00.000+0000,111.51,112.26,110.74,111.59,5872.845
2025-08-25T14:00:00.000+0000,111.6,112.66,111.38,111.7,4392.663
2025-08-25T16:00:00.000+0000,111.74,112.64,111.26,111.72,4975.122
2025-08-25T18:00:00.000+0000,111.79,111.87,109.14,109.32,3935.968
2025-08-25T20:00:00.000+0000,109.37,109.8,106.75,107.42,19501.294
2025-08-25T22:00:00.000+0000,107.41,109.56,107.39,109.15,4149.665
2025-08-26T00:00:00.000+0000,109.17,110.25,108.81,110.0,6806.009
2025-08-26T02:00:00.000+0000,109.98,110.34,109.38,110.09,2003.389
2025-08-26T04:00:00.000+0000,110.09,110.93,109.98,110.78,2200.319
2025-08-26T06:00:00.000+0000,110.77,111.36,109.91,110.59,2512.474
2025-08-26T08:00:00.000+0000,110.62,110.81,110.1,110.33,2431.085
2025-08-26T10:00:00.000+0000,110.38,110.91,110.04,110.57,1162.97
2025-08-26T12:00:00.000+0000,110.57,112.5,110.07,111.89,9402.766
2025-08-26T14:00:00.000+0000,111.89,112.69,111.28,112.02,5314.2761
2025-08-26T16:00:00.000+0000,112.02,113.84,111.84,112.91,2447.215
2025-08-26T18:00:00.000+0000,112.92,114.63,112.68,114.54,2340.071
2025-08-26T20:00:00.000+0000,114.54,114.77,113.01,113.72,5221.212
2025-08-26T22:00:00.000+0000,113.73,114.06,113.22,113.47,2811.742
2025-08-27T00:00:00.000+0000,113.47,113.49,112.79,113.41,4647.852
2025-08-27T02:00:00.000+0000,113.41,114.64,112.96,114.33,7519.842
2025-08-27T04:00:00.000+0000,114.32,116.23,113.45,113.95,14184.829
2025-08-27T06:00:00.000+0000,114.0,114.0,112.67,112.98,3235.462
2025-08-27T08:00:00.000+0000,113.01,113.33,112.2,112.64,2245.97
2025-08-27T10:00:00.000+0000,112.64,113.37,112.52,113.02,2014.658
2025-08-27T12:00:00.000+0000,113.0,113.95,112.67,112.99,3697.483
2025-08-27T14:00:00.000+0000,113.02,114.59,112.83,113.7,4813.85
2025-08-27T16:00:00.000+0000,113.72,114.21,113.11,114.12,3077.554
2025-08-27T18:00:00.000+0000,114.01,114.34,112.64,113.21,1529.804
2025-08-27T20:00:00.000+0000,113.16,114.27,112.28,112.99,7844.751
2025-08-27T22:00:00.000+0000,113.02,113.17,111.97,112.15,2266.905
2025-08-28T00:00:00.000+0000,112.18,112.99,111.33,112.7,3248.996
2025-08-28T02:00:00.000+0000,112.66,113.13,112.27,112.98,1005.747
2025-08-28T04:00:00.000+0000,112.94,114.21,112.78,113.56,10587.09
